category,id,title,summary,key_impacts,key_mitigations,source
llm,LLM01:2025,Prompt Injection,"Crafted or embedded inputs override the model's intended instructions, causing it to act outside its design. Includes direct injection (user-supplied) and indirect injection (via external content the model ingests). Multimodal inputs expand the attack surface.","Sensitive data disclosure; Unauthorized actions in connected systems; Bypassed safety controls; Manipulated decision outputs","Constrain model role and context in system prompts; Validate and filter inputs/outputs; Enforce least-privilege on model-accessible functions; Require human approval for high-impact actions; Segregate untrusted external content; Conduct regular adversarial testing",OWASP Top 10 for LLM Applications v2.0
llm,LLM02:2025,Sensitive Information Disclosure,"The model reveals private, proprietary, or confidential data through its outputs — either from training data memorization or from context provided during interactions. Includes PII leakage, algorithm exposure, and business data disclosure.","PII exposure; Intellectual property theft; Privacy regulation violations; Model inversion attacks; Proprietary algorithm leakage","Sanitize training data to remove sensitive content; Apply strict input validation; Enforce least-privilege data access; Use differential privacy techniques; Educate users on safe interaction; Implement output filtering and redaction; Use homomorphic encryption where feasible",OWASP Top 10 for LLM Applications v2.0
llm,LLM03:2025,Supply Chain Vulnerabilities,"Third-party components in the ML pipeline — pre-trained models, fine-tuning adapters, datasets, packages — may introduce backdoors, biases, or malicious code. Risks extend to model provenance, LoRA adapters, collaborative development, and on-device deployments.","Compromised model integrity; Hidden backdoors and biases; Malware via poisoned packages; IP/licensing violations; Sensitive data exposure through unclear policies","Vet data sources and suppliers thoroughly; Maintain SBOMs for all components; Use models from verifiable sources with integrity checks; Apply red-teaming and robustness evaluations; Monitor collaborative model environments; Implement patching policies; Encrypt on-device models",OWASP Top 10 for LLM Applications v2.0
llm,LLM04:2025,Data and Model Poisoning,"Manipulation of training, fine-tuning, or embedding data to degrade model performance, introduce biases, or plant backdoors. Includes split-view poisoning, frontrunning, and sleeper-agent triggers that activate under specific conditions.","Degraded model accuracy; Biased or toxic outputs; Backdoor exploitation; Downstream system compromise; Sleeper-agent behavior","Track data provenance with ML-BOMs; Vet data vendors and validate outputs; Sandbox models from unverified sources; Use data version control; Monitor training loss for anomalies; Apply adversarial robustness testing; Integrate RAG for inference grounding",OWASP Top 10 for LLM Applications v2.0
llm,LLM05:2025,Improper Output Handling,"Model-generated content is passed to downstream systems without adequate validation or sanitization, enabling injection attacks. The model effectively becomes a vector for XSS, CSRF, SSRF, SQL injection, or remote code execution.","XSS/CSRF/SSRF attacks; Remote code execution; SQL injection; Privilege escalation; Data exfiltration via output channels","Treat model output as untrusted (zero-trust); Apply context-aware output encoding; Use parameterized queries for DB operations; Enforce Content Security Policies; Implement robust output logging and monitoring; Follow OWASP ASVS validation guidelines",OWASP Top 10 for LLM Applications v2.0
llm,LLM06:2025,Excessive Agency,"The model is granted more functionality, permissions, or autonomy than needed — enabling damaging actions from hallucinations, prompt injection, or misconfiguration. Root causes: unnecessary tool access, over-broad permissions, insufficient human oversight.","Unauthorized data access or deletion; Privilege escalation; Financial loss from unintended transactions; Compliance violations; System compromise through over-privileged extensions","Minimize available extensions to only what's needed; Restrict extension functionality to minimum operations; Avoid open-ended tools (e.g. shell access); Apply least-privilege to downstream system permissions; Require human approval for high-impact actions; Log and monitor all extension activity",OWASP Top 10 for LLM Applications v2.0
llm,LLM07:2025,System Prompt Leakage,"System prompts containing sensitive configuration — API keys, role structures, filtering rules, architecture details — are extracted by users through prompt manipulation. The core risk is not the disclosure itself but that sensitive data was embedded in an extractable location.","Exposed credentials and API keys; Revealed security controls enabling bypass; Disclosed role/permission structures; Facilitated privilege escalation; Architecture details enabling targeted attacks","Never embed secrets in system prompts; Don't rely on system prompts for security control; Implement independent output guardrails; Enforce authorization and privilege checks outside the LLM; Use deterministic security controls for critical boundaries",OWASP Top 10 for LLM Applications v2.0
llm,LLM08:2025,Vector and Embedding Weaknesses,"RAG systems face risks from how embeddings are generated, stored, and retrieved. Weak access controls, data poisoning, and cross-tenant leakage in shared vector stores can compromise retrieval integrity and expose sensitive information.","Unauthorized access to sensitive embeddings; Cross-tenant data leakage; Data poisoning of knowledge base; Embedding inversion recovering source data; Altered model behavior from corrupted retrieval","Implement permission-aware vector stores with strict partitioning; Validate and authenticate all data sources; Review and classify combined datasets; Tag data by access level; Maintain immutable retrieval activity logs; Monitor for poisoning anomalies",OWASP Top 10 for LLM Applications v2.0
llm,LLM09:2025,Misinformation,"Models produce false or misleading content that appears credible — from hallucination, training bias, or incomplete data. Overreliance by users amplifies the impact when fabricated information enters critical decisions.","Decisions based on fabricated information; Legal liability from false claims; Reputational damage; Integration of vulnerable code libraries; Harmful outcomes in safety-critical domains","Use RAG to ground outputs in verified sources; Fine-tune models for domain accuracy; Implement cross-verification and human oversight; Build automatic validation for high-stakes outputs; Clearly communicate model limitations to users; Establish secure coding review for generated code",OWASP Top 10 for LLM Applications v2.0
llm,LLM10:2025,Unbounded Consumption,"Uncontrolled inference requests exhaust compute resources — via input flooding, complex queries, or model extraction attacks. Enables denial of service, financial drain (denial-of-wallet), and intellectual property theft through model replication.","Service denial for legitimate users; Unsustainable cloud computing costs; Model theft via extraction; System performance degradation; Creation of shadow/clone models","Validate and limit input sizes; Rate-limit requests per user/source; Manage resource allocation dynamically; Set inference timeouts; Restrict logit/probability exposure; Implement watermarking; Use access controls and centralized model inventory; Deploy anomaly detection for usage patterns",OWASP Top 10 for LLM Applications v2.0
stride,STRIDE-S,Spoofing,"An attacker impersonates a legitimate user, system, or data source to gain unauthorized access. In AI systems this targets authentication endpoints, API access, and data pipelines feeding models.","Unauthorized system access; Identity theft; Compromised authentication; Manipulated model inputs; Bypassed security controls","Enforce multi-factor authentication; Use OAuth 2.0 and mutual TLS for APIs; Verify data source authenticity with digital signatures; Implement secure token management with short expiration",STRIDE Threat Model
stride,STRIDE-T,Tampering,"Unauthorized modification of data, code, model weights, configurations, or logs. In AI systems this can introduce backdoors, corrupt training data, alter predictions, or hide evidence of attacks.","Compromised model integrity; Backdoor introduction; Biased model outputs; Corrupted audit trails; Security bypass via config changes","Use cryptographic hashing and digital signatures for data integrity; Version-control and sign model artifacts; Store logs in immutable/append-only storage; Enforce strict access controls with least privilege; Validate all inputs and outputs against schemas",STRIDE Threat Model
stride,STRIDE-R,Repudiation,"Users or systems deny performing actions due to insufficient logging and audit trails. Makes incident investigation, attribution, and accountability impossible in AI systems.","Inability to attribute malicious actions; Failed compliance audits; Blocked incident forensics; Loss of trust in system integrity; Unprovable security incidents","Log all user actions, API calls, and model inferences with timestamps and identities; Use digital signatures and trusted timestamps; Store audit trails in tamper-evident systems; Monitor user sessions and data access patterns; Centralize log management with access controls",STRIDE Threat Model
stride,STRIDE-I,Information Disclosure,"Unauthorized exposure of training data, model weights, prompts, PII, credentials, or architecture details — through outputs, error messages, side-channel attacks, or model inversion.","PII exposure; Leaked proprietary algorithms; Training data extraction; Credential exposure; Privacy regulation violations; Competitive disadvantage","Classify data by sensitivity and encrypt at rest/in transit; Filter sensitive content from model outputs; Enforce RBAC and least privilege; Apply differential privacy during training; Return minimal information in error messages; Protect model weights via encryption or API-only access",STRIDE Threat Model
stride,STRIDE-D,Denial of Service,"Attacks that make AI systems unavailable — targeting inference endpoints, training pipelines, or infrastructure. AI workloads are especially vulnerable due to high computational costs per request.","Service unavailability; Financial losses from disruption; Excessive cloud costs; Training pipeline interruption; SLA violations","Rate-limit API endpoints with adaptive throttling; Validate input size and complexity; Set per-user resource quotas; Use load balancing and auto-scaling; Set inference timeouts; Deploy DDoS protection and WAF; Cache common queries",STRIDE Threat Model
stride,STRIDE-E,Elevation of Privilege,"Attackers gain higher access than intended — through prompt injection escalation, API authorization bypass, plugin exploitation, or misconfigured access controls in AI infrastructure.","Unauthorized admin access; Security control bypass; Complete system compromise; Data exfiltration; Backdoor installation","Apply least privilege and regularly audit permissions; Implement RBAC with separation of duties; Validate and sanitize all inputs; Enforce authorization on all API endpoints; Keep systems patched; Monitor for anomalous access patterns; Harden default configurations",STRIDE Threat Model
agent,ASI01,Agent Goal Hijack,"Adversaries redirect an agent's objectives, task selection, or decision pathways — via prompt manipulation, deceptive tool outputs, poisoned data, or forged inter-agent messages. Unlike simple prompt injection, this subverts the agent's planning and multi-step behavior.","Goal redirection toward harmful outcomes; Data exfiltration via redirected objectives; Unauthorized tool and API usage; Financial fraud through manipulated decisions; Privacy violations from subverted action logic","Treat all natural-language inputs as untrusted; Enforce least privilege and require human approval for goal-changing actions; Lock system prompts with explicit goal priorities; Validate user and agent intent before high-impact execution; Sanitize all connected data sources; Log and monitor for goal-state drift; Conduct red-team testing for goal override",OWASP Agentic AI Security Top 10
agent,ASI02,Tool Misuse and Exploitation,"Agents apply legitimate tools in unsafe or unintended ways — deleting data, over-invoking costly APIs, exfiltrating information — due to prompt injection, misalignment, or ambiguous instructions. Covers misuse within authorized privilege scope.","Data exfiltration through legitimate tools; Costly API over-invocation; Workflow hijacking; Data deletion; EDR/XDR bypass via trusted binaries; Tool chaining for unintended effects","Define per-tool least-privilege profiles with rate limits; Require authentication and human confirmation for destructive actions; Run tools in sandboxed environments with egress controls; Validate intent and arguments before execution; Apply adaptive usage budgets; Use ephemeral credentials per session; Log all tool invocations immutably",OWASP Agentic AI Security Top 10
agent,ASI03,Identity and Privilege Abuse,"Exploits dynamic trust and delegation in agent systems to escalate access — through delegation chain manipulation, credential caching, cross-agent trust exploitation, or identity gaps between user-centric auth and agent execution.","Privilege hijacking through delegation chains; Credential caching exploitation; Cross-agent confused-deputy attacks; TOCTOU vulnerabilities; Data exfiltration across security boundaries; Unauthorized transactions via trust exploitation","Issue task-scoped, time-bound tokens per agent; Isolate agent identities with per-session sandboxes; Re-verify authorization at each privileged step; Require human approval for privilege escalation; Bind OAuth tokens to signed intent; Detect anomalous delegation and transitive permissions; Wipe state between tasks",OWASP Agentic AI Security Top 10
